id_produto,nome,descricao,valor_padrao,categoria,ativo
PROD-0084,"Cefadroxila 500mg,,1006,MEDICAÃ‡ÃƒO,0.000000,,R$ 25.37,,,,,,3202391,true",,0.00,outro,sim
PROD-0085,"Teste rÃ¡pido Hepatite C,,1096,INSUMOS,0.000000,,R$ 8.76,,,,,,3202391,true",,0.00,outro,sim
PROD-0086,"Maq. ExtraÃ§Ã£o,,1127,INSUMOS,1.000000,,R$ 192.05,,,,,,3202391,true",,0.00,outro,sim
PROD-0087,"Soro FisiolÃ³gico EV,,1081,INSUMOS,0.000000,,R$ 12.00,,,,,,3202391,true",,0.00,outro,sim
PROD-0088,"Flanela,,1114,LIMPEZA,0.000000,,R$ 5.98,,,,,,3202391,true",,0.00,outro,sim
PROD-0089,"Atropina,,1003,MEDICAÃ‡ÃƒO,0.000000,,R$ 11.89,,,,,,3202391,true",,0.00,outro,sim
PROD-0090,"Capitopril 50mg,,1005,MEDICAÃ‡ÃƒO,0.000000,,R$ 0.45,,,,,,3202391,true",,0.00,outro,sim
PROD-0091,"Agulha 40x12,,1034,INSUMOS,0.000000,,R$ 0.28,,,,,,3202391,true",,0.00,outro,sim
PROD-0092,"Ã“leo Cicatrizante,,1071,INSUMOS,0.000000,,R$ 13.90,,,,,,3202391,true",,0.00,outro,sim
PROD-0093,"Dipirona 1g,,1008,MEDICAÃ‡ÃƒO,0.000000,,R$ 21.29,,,,,,3202391,true",,0.00,outro,sim
PROD-0094,"Triancil,,1016,MEDICAÃ‡ÃƒO,0.000000,,R$ 26.59,,,,,,3202391,true",,0.00,outro,sim
PROD-0095,"Avental Esteril,,1038,INSUMOS,0.000000,,R$ 26.09,,,,,,3202391,true",,0.00,outro,sim
PROD-0096,"Tiras para Glicemia,,1083,INSUMOS,0.000000,,R$ 1.26,,,,,,3202391,true",,0.00,outro,sim
PROD-0097,"Ãlcool Swab,,1036,INSUMOS,0.000000,R$ 0.00,R$ 0.08,,,,,,3202391,true",,0.00,outro,sim
PROD-0098,"Ondasetrona 2 mg,,1019,MEDICAÃ‡ÃƒO,0.000000,,R$ 1.67,,,,,,3202391,true",,0.00,outro,sim
PROD-0099,"Teste rÃ¡pido HiV,,1093,INSUMOS,0.000000,,R$ 8.76,,,,,,3202391,true",,0.00,outro,sim
PROD-0100,"Garrote,,1121,INSUMOS,0.000000,,R$ 39.99,,,,,,3202391,true",,0.00,outro,sim
PROD-0101,"Agulha 20x0,55,,1033,INSUMOS,0.000000,,R$ 0.35,,,,,,3202391,true",,0.00,outro,sim
PROD-0102,"Seringa 10ml,,1076,INSUMOS,0.000000,,R$ 0.97,,,,,,3202391,true",,0.00,outro,sim
PROD-0103,"Tubo Coleta Transporte (branco),,1088,INSUMOS,0.000000,,R$ 1.84,,,,,,3202391,true",,0.00,outro,sim
PROD-0104,"Gaze,,1059,INSUMOS,0.000000,,R$ 0.05,,,,,,3202391,true",,0.00,outro,sim
PROD-0105,"Polifix,,1073,INSUMOS,0.000000,,R$ 1.90,,,,,,3202391,true",,0.00,outro,sim
PROD-0106,"Filtro de cafÃ©,,1119,INSUMOS,0.000000,,R$ 5.99,,,,,,3202391,true",,0.00,outro,sim
PROD-0107,"Curativo transparente 10x10,,1122,INSUMOS,2.000000,,R$ 129.99,,,,,,3202391,true",,0.00,outro,sim
PROD-0108,"Teste rÃ¡pido sÃ­filis,,1094,INSUMOS,0.000000,R$ 0.00,R$ 8.76,,,,,,3202391,true",,0.00,outro,sim
PROD-0109,"Seringa 3ml,,1078,INSUMOS,0.000000,,R$ 0.47,,,,,,3202391,true",,0.00,outro,sim
PROD-0110,"Soro FisiolÃ³gico 500ml,,1080,INSUMOS,0.000000,,R$ 5.99,,,,,,3202391,true",,0.00,outro,sim
PROD-0111,"Tapete HigiÃªnico,,1082,INSUMOS,0.000000,,R$ 2.60,,,,,,3202391,true",,0.00,outro,sim
PROD-0112,"Luva Esteril 7.0,,1090,INSUMOS,0.000000,,R$ 2.26,,,,,,3202391,true",,0.00,outro,sim
PROD-0113,"Limpa Vidro,,1100,LIMPEZA,0.000000,,R$ 8.00,,,,,,3202391,true",,0.00,outro,sim
PROD-0114,"Seringa 5ml,,1079,INSUMOS,0.000000,,R$ 0.64,,,,90183119,,3202391,true",,0.00,outro,sim
PROD-0115,"Teste rÃ¡pido Hepatite B,,1095,INSUMOS,0.000000,,R$ 8.76,,,,,,3202391,true",,0.00,outro,sim
PROD-0116,"Capa de caneta,,1046,INSUMOS,0.000000,,R$ 3.34,,,,,,3202391,true",,0.00,outro,sim
PROD-0117,"Luva Esteril 6.5,,1067,INSUMOS,0.000000,,R$ 2.26,,,,,,3202391,true",,0.00,outro,sim
PROD-0118,"Desinfetante 5L,,1101,LIMPEZA,0.000000,,R$ 21.77,,,,,,3202391,true",,0.00,outro,sim
PROD-0119,"Descarpack 7L,,1049,INSUMOS,0.000000,,R$ 6.50,,,,,,3202391,true",,0.00,outro,sim
PROD-0120,"Agulha mesoterapia 4mm,,1124,INSUMOS,2.000000,,R$ 119.90,,,,,,3202391,true",,0.00,outro,sim
PROD-0121,"Germi rio 1L,,1060,INSUMOS,0.000000,,R$ 11.90,,,,,,3202391,true",,0.00,outro,sim
PROD-0122,"Compressa,,1048,INSUMOS,0.000000,,R$ 60.00,,,,,,3202391,true",,0.00,outro,sim
